Hora,TipoD,BUS,CAM,CAMP,VLC,VLP
0,D,0.026566416,0.042203058,0.036075021,0.038922985,0.033307852
1,D,0.010721248,0.046331072,0.0404241,0.04305873,0.035792094
2,D,0.005402395,0.031307042,0.022800558,0.030614361,0.027440681
3,D,0.005402395,0.023505852,0.015914351,0.023712784,0.021860795
4,D,0.005402395,0.018544791,0.011292671,0.019158274,0.018943263
5,D,0.005402395,0.01611557,0.010774407,0.016771116,0.017317925
6,D,0.043984962,0.014296163,0.010584751,0.015650983,0.016569856
7,D,0.043984962,0.012010967,0.009113088,0.013166347,0.014675583
8,D,0.043984962,0.015896861,0.013521943,0.016709964,0.017756856
9,D,0.043984962,0.024361093,0.019498398,0.024595812,0.023522728
10,D,0.054072682,0.019877317,0.022091184,0.024423413,0.030464573
11,D,0.054072682,0.015644157,0.025293023,0.023030912,0.040223573
12,D,0.054072682,0.021981876,0.037443566,0.030730049,0.051770954
13,D,0.054072682,0.056934557,0.062658005,0.056658509,0.059834159
14,D,0.05820802,0.095199681,0.085807778,0.085433505,0.06487259
15,D,0.05820802,0.083575326,0.077037107,0.074088603,0.058475843
16,D,0.05820802,0.074180846,0.066384052,0.066788043,0.052711804
17,D,0.05820802,0.083762996,0.078680023,0.074189578,0.057847253
18,D,0.056999642,0.091369602,0.088183692,0.081673384,0.063102849
19,D,0.056999642,0.06169269,0.073028935,0.064022962,0.067382151
20,D,0.056999642,0.026738733,0.050737723,0.03976446,0.06597351
21,D,0.052998568,0.026109278,0.043720181,0.03860364,0.064878173
22,D,0.048997494,0.048071075,0.05481809,0.051855468,0.057411066
23,D,0.043045113,0.050289399,0.044117352,0.046376117,0.037863871
0,LJ,0.01867967,0.006682294,0.007160867,0.013254192,0.020476051
1,LJ,0.00740185,0.002214981,0.002108899,0.006023821,0.011979626
2,LJ,0.003700925,0.00060893,0.000429463,0.002274039,0.00643601
3,LJ,0.003700925,0.000278211,0.000298757,0.001019691,0.003838367
4,LJ,0.003700925,0.000179274,0.000224067,0.000935332,0.003136607
5,LJ,0.003700925,0.000755805,0.00068082,0.001776457,0.004635155
6,LJ,0.051012753,0.002225674,0.001637368,0.00415673,0.008717508
7,LJ,0.082220555,0.012720093,0.013181322,0.018279349,0.042046707
8,LJ,0.082220555,0.045892772,0.059938056,0.058411593,0.060151317
9,LJ,0.064366092,0.069481116,0.07603962,0.067487294,0.05715653
10,LJ,0.039309827,0.078411433,0.074584155,0.061278757,0.052326647
11,LJ,0.039309827,0.075702418,0.068219938,0.060224402,0.053005121
12,LJ,0.039309827,0.078980516,0.070746116,0.061546281,0.053889264
13,LJ,0.041010253,0.053982071,0.055005497,0.066619989,0.054138333
14,LJ,0.042539206,0.055599422,0.059555876,0.068419912,0.053876528
15,LJ,0.04406816,0.051386054,0.054159653,0.064272796,0.054118252
16,LJ,0.04406816,0.082506368,0.079787388,0.066025574,0.058118268
17,LJ,0.04406816,0.088119043,0.087975335,0.069956193,0.063125889
18,LJ,0.07531883,0.097515458,0.100483462,0.07813544,0.068863409
19,LJ,0.07531883,0.060557364,0.058483808,0.064843736,0.072293844
